     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         80;     1773926.525;     1817850.000;     1778246.796;        9633.290 ( 0.542 %);     42.904
       IKJ;         234.375;           0.229;           0.000;        100;         80;     2457572.913;     2466977.763;     2458770.815;        1608.774 ( 0.065 %);     31.029
       IEX;         234.375;           0.229;           0.000;        100;         80;     2457232.862;     2459506.413;     2458136.842;         457.676 ( 0.019 %);     31.037
   UNROLL4;         234.375;           0.229;           0.000;        100;         80;     3617625.425;     3635566.200;     3619264.214;        3075.266 ( 0.085 %);     21.080
   UNROLL8;         234.375;           0.229;           0.000;        100;         80;     3462767.025;     3465227.487;     3463522.631;         498.364 ( 0.014 %);     22.028
     CBLAS;         234.375;           0.229;           0.000;        100;         80;      854320.625;      909645.000;      857920.795;        9463.926 ( 1.103 %);     88.929
