     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          16.000;           0.016;           0.000;       1024;        100;       69802.789;        1358.040;        2114.880;        1402.433;         147.524 (10.519 %);   5570.676
   UNROLL8;          16.000;           0.016;           0.000;       1024;        100;           0.000;          23.400;          31.680;          23.884;           1.418 ( 5.939 %); 327106.806
