     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          16.000;           0.016;           0.000;       1024;        100;       30750.981;        1352.400;        1597.800;        1372.491;          50.463 ( 3.677 %);   5692.204
   UNROLL8;          16.000;           0.016;           0.000;       1024;        100;           0.000;          23.880;          42.240;          26.640;           3.659 (13.734 %); 293262.012
