     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          16.000;           0.016;           0.000;       1024;        100;       39655.846;        1356.960;       14634.240;        2851.143;        3248.664 (113.943 %);   2740.129
   UNROLL8;          16.000;           0.016;           0.000;       1024;        100;           0.000;          23.640;          27.240;          24.131;           0.748 ( 3.099 %); 323754.898
