     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          16.000;           0.016;           0.000;       1024;        100;       46736.635;        1357.320;       10644.970;        1818.902;        1856.424 (102.063 %);   4295.173
   UNROLL8;          16.000;           0.016;           0.000;       1024;        100;           0.000;          23.760;          30.000;          24.215;           1.407 ( 5.811 %); 322636.657
