     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL4;         234.375;           0.229;           0.000;        100;         80;     3620623.487;     3638779.500;     3622723.524;        3387.943 ( 0.094 %);     21.060
   UNROLL8;         234.375;           0.229;           0.000;        100;         80;     3358688.450;     3499787.350;     3366002.785;       24495.775 ( 0.728 %);     22.666
