     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          16.000;           0.016;           0.000;       1024;       1000;        8633.916;        1200.720;        5031.350;        1566.306;         815.646 (52.074 %);   4987.849
   UNROLL8;          16.000;           0.016;           0.000;       1024;       1000;           0.000;           5.328;           6.876;           5.502;           0.357 ( 6.485 %); 1419985.129
