     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          16.000;           0.016;           0.000;       1024;       1000;        9057.727;        1201.105;        1961.833;        1286.330;         175.856 (13.671 %);   6073.479
   UNROLL8;          16.000;           0.016;           0.000;       1024;       1000;           0.000;           5.136;        2334.445;          75.955;         405.439 (533.789 %); 102857.037
