     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          16.000;           0.016;           0.000;       1024;       1000;        8906.717;        1200.828;        8959.131;        1497.552;        1344.361 (89.771 %);   5216.848
   UNROLL8;          16.000;           0.016;           0.000;       1024;       1000;           0.000;           5.172;         874.500;          31.702;         151.297 (477.251 %); 246436.969
