     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          16.000;           0.016;           0.000;       1024;       1000;       10557.489;        1200.801;        5658.970;        1804.446;        1190.075 (65.952 %);   4329.584
   UNROLL8;          16.000;           0.016;           0.000;       1024;       1000;           0.000;           5.112;           5.964;           5.151;           0.146 ( 2.839 %); 1516829.639
