     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         80;     1773587.975;     2604712.450;     1804394.705;      144076.952 ( 7.985 %);     42.282
       IKJ;         234.375;           0.229;           0.000;        100;         80;     2458120.562;     2472979.562;     2459443.042;        2641.072 ( 0.107 %);     31.021
       IEX;         234.375;           0.229;           0.000;        100;         80;     2458215.362;     2460702.350;     2459047.366;         590.231 ( 0.024 %);     31.026
   UNROLL4;         234.375;           0.229;           0.000;        100;         80;     3618164.388;     3628165.487;     3619769.469;        2171.016 ( 0.060 %);     21.077
   UNROLL8;         234.375;           0.229;           0.000;        100;         80;     3463973.487;     3466089.538;     3464979.777;         555.210 ( 0.016 %);     22.019
     CBLAS;         234.375;           0.229;           0.000;        100;         80;      854365.938;      913588.350;      857681.681;       10201.811 ( 1.189 %);     88.954
