     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         80;     1774532.387;     2567632.737;     1804639.147;      137682.602 ( 7.629 %);     42.277
       IKJ;         234.375;           0.229;           0.000;        100;         80;     2458036.400;     2465584.250;     2458908.679;        1317.810 ( 0.054 %);     31.028
       IEX;         234.375;           0.229;           0.000;        100;         80;     2457864.050;     2459525.163;     2458543.365;         420.844 ( 0.017 %);     31.032
   UNROLL4;         234.375;           0.229;           0.000;        100;         80;     3617650.337;     3640817.700;     3619412.178;        3907.117 ( 0.108 %);     21.079
   UNROLL8;         234.375;           0.229;           0.000;        100;         80;     3463609.438;     3468098.938;     3464750.087;         856.490 ( 0.025 %);     22.020
     CBLAS;         234.375;           0.229;           0.000;        100;         80;      854396.975;      908366.850;      858103.344;        9284.973 ( 1.082 %);     88.910
