     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         80;     1774096.788;     2582799.837;     1803243.864;      140231.378 ( 7.777 %);     42.309
       IKJ;         234.375;           0.229;           0.000;        100;         80;     2458038.362;     2461478.163;     2458848.856;         715.717 ( 0.029 %);     31.028
       IEX;         234.375;           0.229;           0.000;        100;         80;     2457801.050;     2459797.100;     2458508.147;         480.703 ( 0.020 %);     31.033
   UNROLL4;         234.375;           0.229;           0.000;        100;         80;     3618065.237;     3619404.288;     3618654.059;         401.956 ( 0.011 %);     21.084
   UNROLL8;         234.375;           0.229;           0.000;        100;         80;     3463859.638;     3477668.050;     3465420.000;        2345.309 ( 0.068 %);     22.016
     CBLAS;         234.375;           0.229;           0.000;        100;         80;      855546.575;      909827.100;      859219.505;        9243.214 ( 1.076 %);     88.794
