     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         80;     1773489.425;     1817011.650;     1778616.065;       10584.129 ( 0.595 %);     42.895
       IKJ;         234.375;           0.229;           0.000;        100;         80;     2457478.400;     2460939.062;     2458262.652;         650.577 ( 0.026 %);     31.036
       IEX;         234.375;           0.229;           0.000;        100;         80;     2457502.712;     2458837.100;     2458068.983;         416.671 ( 0.017 %);     31.038
   UNROLL4;         234.375;           0.229;           0.000;        100;         80;     3618044.075;     3646553.250;     3619613.513;        4850.401 ( 0.134 %);     21.078
   UNROLL8;         234.375;           0.229;           0.000;        100;         80;     3463202.038;     3494613.850;     3466294.196;        7541.293 ( 0.218 %);     22.010
     CBLAS;         234.375;           0.229;           0.000;        100;         80;      854079.738;      912652.200;      858039.454;        9944.771 ( 1.159 %);     88.917
