     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          16.000;           0.016;           0.000;       1024;        100;       37948.345;        1357.440;        1908.240;        1379.582;          94.962 ( 6.883 %);   5662.947
   UNROLL8;          16.000;           0.016;           0.000;       1024;        100;           0.000;          23.760;          35.040;          24.895;           2.858 (11.481 %); 313823.766
