     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          16.000;           0.016;           0.000;       1024;        100;       78504.755;        1353.480;        1635.240;        1379.266;          66.986 ( 4.857 %);   5664.244
   UNROLL8;          16.000;           0.016;           0.000;       1024;        100;           0.000;          23.640;          34.680;          24.207;           1.901 ( 7.855 %); 322733.589
