     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          16.000;           0.016;           0.000;       1024;       1000;        8664.997;        1200.765;        3387.411;        1331.407;         390.223 (29.309 %);   5867.852
   UNROLL8;          16.000;           0.016;           0.000;       1024;       1000;           0.000;           5.352;           6.636;           5.520;           0.343 ( 6.212 %); 1415214.742
