     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          16.000;           0.016;           0.000;       1024;       1000;        6700.881;        1201.200;        1496.737;        1236.183;          58.268 ( 4.714 %);   6319.856
   UNROLL8;          16.000;           0.016;           0.000;       1024;       1000;           0.000;           5.328;           5.928;           5.359;           0.103 ( 1.913 %); 1457852.684
